Date,Day,ChannelGroup,Channel,StartTime,Typol,Description,TimeSlot,Time start,Time end,Time Length,NIns,Rating%,Audience[000'],Rch%,Rchr'000,Cov%,Covr'000,Share
01/01/2021,Friday,KTV Group,KTV,0:05:00,Emision argetues,Gjithologët,02:00:00-26:00:00,20:05:00,20:10:00,00:05:00,1,0.09,1.53,0.09,1.53,0.09,1.53,0.28
01/01/2021,Friday,KTV Group,KTV,00:05:00,Emision argetues,Gjithologët - r,02:00:00-26:00:00,10:00:00,10:05:00,00:05:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:05:00,Reklama,Marketing,02:00:00-26:00:00,20:00:00,20:05:00,00:05:00,1,0.09,1.53,0.09,1.53,0.09,1.53,0.29
01/01/2021,Friday,KTV Group,KTV,00:05:00,Reklama,Promo,02:00:00-26:00:00,06:55:00,07:00:00,00:05:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:05:00,Reklama,Promo,02:00:00-26:00:00,15:25:00,15:30:00,00:05:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:10:00,Lajme,Koha e lajmeve,02:00:00-26:00:00,03:00:00,03:10:00,00:10:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:10:00,Lajme,Koha e lajmeve,02:00:00-26:00:00,05:00:00,05:10:00,00:10:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:10:00,Lajme,Koha e lajmeve,02:00:00-26:00:00,06:00:00,06:10:00,00:10:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:10:00,Lajme,Koha e lajmeve,02:00:00-26:00:00,09:00:00,09:10:00,00:10:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:10:00,Lajme,Koha e lajmeve,02:00:00-26:00:00,12:00:00,12:10:00,00:10:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:10:00,Lajme,Koha e lajmeve,02:00:00-26:00:00,15:00:00,15:10:00,00:10:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:10:00,Reklama,Promo,02:00:00-26:00:00,14:00:00,14:10:00,00:10:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:15:00,Lajme,Koha e lajmeve,02:00:00-26:00:00,17:00:00,17:15:00,00:15:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:15:00,Reklama,City Shop,02:00:00-26:00:00,15:10:00,15:25:00,00:15:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:15:00,Reklama,Top Shop,02:00:00-26:00:00,10:30:00,10:45:00,00:15:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:15:00,Reklama,Top Shop,02:00:00-26:00:00,11:45:00,12:00:00,00:15:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:15:00,Reklama,Top Shop,02:00:00-26:00:00,16:15:00,16:30:00,00:15:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:20:00,Emision i pasdites,Express,02:00:00-26:00:00,03:10:00,03:30:00,00:20:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:20:00,Reklama,City Shop,02:00:00-26:00:00,12:10:00,12:30:00,00:20:00,1,0.18,2.98,0.3,4.79,0.3,4.79,0.74
01/01/2021,Friday,KTV Group,KTV,00:20:00,Serial,Te famshmit,02:00:00-26:00:00,04:40:00,05:00:00,00:20:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:20:00,Sport,Sporti në KTV,02:00:00-26:00:00,19:40:00,20:00:00,00:20:00,1,0.1,1.7,0.15,2.38,0.15,2.38,0.32
01/01/2021,Friday,KTV Group,KTV,00:25:00,Emision i pasdites,Express - r,02:00:00-26:00:00,10:05:00,10:30:00,00:25:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:25:00,Magazine televizive,Cosmo,02:00:00-26:00:00,04:15:00,04:40:00,00:25:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:30:00,Emision i pasdites,Express,02:00:00-26:00:00,16:30:00,17:00:00,00:30:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:30:00,Magazine televizive,Cosmo,02:00:00-26:00:00,20:50:00,21:20:00,00:30:00,1,0.1,1.65,0.12,1.88,0.12,1.88,0.29
01/01/2021,Friday,KTV Group,KTV,00:30:00,Serial,Te famshmit,02:00:00-26:00:00,13:30:00,14:00:00,00:30:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:40:00,Lajme,Lajme e mbrëmjes,02:00:00-26:00:00,19:00:00,19:40:00,00:40:00,1,0.09,1.53,0.09,1.53,0.09,1.53,0.29
01/01/2021,Friday,KTV Group,KTV,00:40:00,Magazine televizive,Magazina 038,02:00:00-26:00:00,20:10:00,20:50:00,00:40:00,1,0.09,1.53,0.09,1.53,0.09,1.53,0.29
01/01/2021,Friday,KTV Group,KTV,00:40:00,Serial,Mollë e ndaluar,02:00:00-26:00:00,24:00:00,24:40:00,00:40:00,1,0.08,1.22,0.11,1.75,0.11,1.75,0.28
01/01/2021,Friday,KTV Group,KTV,00:45:00,Dokumentar seri,Bota e së ardhmës,02:00:00-26:00:00,06:10:00,06:55:00,00:45:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:45:00,Magazine televizive,Magazina 038,02:00:00-26:00:00,03:30:00,04:15:00,00:45:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:45:00,Serial,Mollë e ndaluar,02:00:00-26:00:00,15:30:00,16:15:00,00:45:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:50:00,Emision i mbremjes,Interaktiv,02:00:00-26:00:00,05:10:00,06:00:00,00:50:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:50:00,Emision i mbremjes,Interaktiv - Biseda - r,02:00:00-26:00:00,14:10:00,15:00:00,00:50:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,00:50:00,Emision i mengjesit,Sot – vazhdimi,02:00:00-26:00:00,09:10:00,10:00:00,00:50:00,1,0,0.03,0.05,0.85,0.05,0.85,0.01
01/01/2021,Friday,KTV Group,KTV,01:00:00,Emision i pasdites,Express,02:00:00-26:00:00,02:00:00,03:00:00,01:00:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,01:00:00,Emision i pasdites,Express - vazhdimi,02:00:00-26:00:00,10:45:00,11:45:00,01:00:00,1,0.01,0.11,0.3,4.79,0.3,4.79,0.03
01/01/2021,Friday,KTV Group,KTV,01:00:00,Emision informativ,Desku - r,02:00:00-26:00:00,12:30:00,13:30:00,01:00:00,1,0.13,2.09,0.32,5.15,0.32,5.15,0.5
01/01/2021,Friday,KTV Group,KTV,01:10:00,Serial,Mollë e ndaluar,02:00:00-26:00:00,21:20:00,22:30:00,01:10:00,1,0.02,0.37,0.19,3.07,0.19,3.07,0.06
01/01/2021,Friday,KTV Group,KTV,01:20:00,Serial,Nusja nga Stambolli,02:00:00-26:00:00,24:40:00,26:00:00,01:20:00,1,0,0,0,0,0,0,0
01/01/2021,Friday,KTV Group,KTV,01:30:00,Emision i mbremjes,Interaktiv,02:00:00-26:00:00,22:30:00,24:00:00,01:30:00,1,0.1,1.61,0.18,2.95,0.18,2.95,0.29
