Month,Week,Day of week,Channel Group,Description EN,Typol,Time slot,Time start,Male-Rating%,Male-Share,Female-Rating%,Female-Share,4-9-Rating%,4-9-Share,10-14-Rating%,10-14-Share,15-19-Rating%,15-19-Share,20-29-Rating%,20-29-Share,30-39-Rating%,30-39-Share,40-49-Rating%,40-49-Share,50-64-Rating%,50-64-Share,65+-Rating%,65+-Share,Mitrovica-Rating%,Mitrovica-Share,Gjilan-Rating%,Gjilan-Share,Peje-Rating%,Peje-Share,Prizren-Rating%,Prizren-Share,Prizren-Rating%,Prizren-Share,Ferizaj-Rating%,Ferizaj-Share,Pristina-Rating%,Pristina-Share
March,Week 9,Monday,T7 Group,Dhoma e rrefimit,Emision,02:00:00-26:00:00,11:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Dhoma e rrefimit,Emision,02:00:00-26:00:00,11:45:00,0.27,2.01,0.05,0.28,0,0,0,0,0.64,5.69,0,0,0,0,0.16,0.83,0.08,0.54,0.82,3.2,0.01,0.05,0.43,1.81,0,0,0.12,0.61,0,0,0,0,0.28,3.2
March,Week 9,Monday,T7 Group,Dpt te Fidani,Emision,02:00:00-26:00:00,22:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Dpt te Fidani,Emision,02:00:00-26:00:00,22:30:00,2.42,9.92,3.13,12.49,0,0,1.51,12.17,2.15,7.83,2.07,9.37,4.35,16.81,2.71,10.58,7.23,20.98,0.99,3.1,0.22,0.95,4.83,11.57,1.83,9.44,1.62,6.83,0,0,0.51,2.47,5.49,25.46
March,Week 9,Monday,T7 Group,Frontal live,Lajme,02:00:00-26:00:00,17:00:00,2.64,8.8,1.64,5.91,0.52,2.69,0.61,3.62,1.84,7.09,0.98,3.89,5.2,18.25,3.25,8.17,2.83,6.9,0.78,2.06,2.19,7.32,4.51,9.04,4.42,21.02,2.41,6.35,0,0,0,0,1.18,6.67
March,Week 9,Monday,T7 Group,Frontal live,Lajme,02:00:00-26:00:00,17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Gjesi live,Emision,02:00:00-26:00:00,07:00:00,0.14,1.88,0.14,1.89,0.26,5.98,0,0,0.01,0.12,0.19,2.61,0.14,2,0.09,1.01,0.1,0.95,0.41,2.95,0.17,2.99,0,0.03,0.17,1.6,0.51,5.03,0.12,1.77,0,0,0.01,0.24
March,Week 9,Monday,T7 Group,Gjesi live,Emision,02:00:00-26:00:00,07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Lajme,Lajme,02:00:00-26:00:00,09:10:00,0.22,1.87,0.36,2.94,0,0,0,0,0,0,0.14,1.34,0.44,3.05,0.02,0.14,0.56,4.7,1.72,7.43,0.86,8.04,0,0,0.23,1.84,0.4,2.47,0,0,0.1,0.62,0.24,4.67
March,Week 9,Monday,T7 Group,Lajme,Lajme,02:00:00-26:00:00,09:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Lajme & Sport,Lajme,02:00:00-26:00:00,15:00:00,0.19,1,0.23,1.3,0,0,0.04,0.36,0.05,0.2,0.02,0.17,0.03,0.16,0.02,0.08,0.86,3.18,1.12,4.79,0,0,0,0,0,0,0.03,0.23,0,0,0,0,0.71,5.89
March,Week 9,Monday,T7 Group,Lajme & Sport,Lajme,02:00:00-26:00:00,15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Lajmet Qendrore,Lajme,02:00:00-26:00:00,19:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Lajmet Qendrore,Lajme,02:00:00-26:00:00,19:30:00,2.83,6.81,2.06,5.61,2.36,7.04,1.14,4.24,5.36,16,2.25,6.54,2.57,6.8,2.67,5.74,2.41,4.24,0.11,0.24,0,0,1.02,2.02,4.66,18.76,7.42,15.9,0.27,0.96,0,0,1.74,4.88
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,09:00:00,0.14,1.21,0.21,1.66,0,0,0,0,0,0,0.14,1.22,0,0,0,0,0.27,2.19,1.64,6.77,0.86,8.04,0,0,0.23,1.77,0,0,0,0,0,0,0.12,1.6
March,Week 9,Monday,T7 Group,Marketing,Reklama,02:00:00-26:00:00,10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
