Channel Group,Date,Day of week,Metrics,Time end,Time start,Values
A TV,5/3/2021,Friday,1-14 Yrs Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,15-19 Yrs Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,25-34 Yrs Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,35-44 Yrs Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,45-54 Yrs Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,55-64 Yrs Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,65+ Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,All target Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Female Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Ferizaj Region Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Gjilan Region Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Male Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Mitrovica Region Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Prishtina Region Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Prizren Region Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Rurall Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,Urbann Rating%,2:30:00,2:00:00,0
A TV,5/3/2021,Friday,1-14 Yrs Rating%,3:00:00,2:30:00,0
A TV,5/3/2021,Friday,15-19 Yrs Rating%,3:00:00,2:30:00,0
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,3:00:00,2:30:00,0
A TV,5/3/2021,Friday,25-34 Yrs Rating%,3:00:00,2:30:00,0
A TV,5/3/2021,Friday,35-44 Yrs Rating%,3:00:00,2:30:00,0
